勝手 (かって)
活発 (かっぱつ)
活動 (かつどう)
活路 (かつろ)
家庭 (かてい)
家庭科 (かていか)
荷電 (かでん)
下等 (かとう)
金具 (かなぐ)
金物 (かなもの)
金持ち (かねもち)
下半身 (かはんしん)
下表 (かひょう)
下部 (かぶ)
上期 (かみき)
神様 (かみさま)
上半期 (かみはんき)
紙屋 (かみや)
神世 (かみよ)
神代 (かみよ)
火薬 (かやく)
身体 (からだ)
空身 (からみ)
下流 (かりゅう)
軽業 (かるわざ)
皮算用 (かわざんよう)
館員 (かんいん)
感化 (かんか)
寒気 (かんき)
感光 (かんこう)
感心 (かんしん)
漢字 (かんじ)
感想 (かんそう)
寒村 (かんそん)
感知 (かんち)
寒中 (かんちゅう)
館長 (かんちょう)
感電 (かんでん)
感度 (かんど)
感動 (かんどう)
館内 (かんない)
神主 (かんぬし)
寒波 (かんぱ)
漢文 (かんぶん)
寒風 (かんぷう)
感服 (かんぷく)
漢方 (かんぽう)
漢方薬 (かんぽうやく)
寒流 (かんりゅう)
漢和 (かんわ)
外界 (がいかい)
外局 (がいきょく)
外向 (がいこう)
外相 (がいしょう)
外注 (がいちゅう)
外皮 (がいひ)
外部 (がいぶ)
外面 (がいめん)
外遊 (がいゆう)
学院 (がくいん)
学業 (がくぎょう)
学者 (がくしゃ)
学習 (がくしゅう)
楽章 (がくしょう)
学童 (がくどう)
学部 (がくぶ)
学問 (がくもん)
楽屋 (がくや)
学用品 (がくようひん)
画集 (がしゅう)
画商 (がしょう)
画題 (がだい)
学界 (がっかい)
学期 (がっき)
学級 (がっきゅう)
学区 (がっく)
合州国 (がっしゅうこく)
合宿 (がっしゅく)
合筆 (がっぴつ)
画板 (がばん)
画面 (がめん)
顔面 (がんめん)
丸薬 (がんやく)
気運 (きうん)
気負 (きお)
気負い立 (きおいた)
気落ち (きおち)
気温 (きおん)
帰化 (きか)
気化 (きか)
期間 (きかん)
気軽 (きがる)
気球 (ききゅう)
起業 (きぎょう)
起業家 (きぎょうか)
気配り (きくばり)
帰港 (きこう)
起工 (きこう)
記号 (きごう)
起算 (きさん)
起死回生 (きしかいせい)
記者 (きしゃ)
期首 (きしゅ)
記章 (きしょう)
記事 (きじ)
期日 (きじつ)
起草 (きそう)
気息 (きそく)
期待 (きたい)
北半球 (きたはんきゅう)
帰着 (きちゃく)
記帳 (きちょう)
汽笛 (きてき)
起点 (きてん)
帰投 (きとう)
気取 (きど)
起動 (きどう)
気乗り (きのり)
来始め (きはじめ)
起筆 (きひつ)
気品 (きひん)
着太り (きぶとり)
黄身 (きみ)
気味 (きみ)
気味が悪 (きみがわる)
気短 (きみじか)
黄緑 (きみどり)
気持 (きもち)
気持ち (きもち)
着物 (きもの)
客足 (きゃくあし)
客員 (きゃくいん)
客死 (きゃくし)
客室 (きゃくしつ)
客車 (きゃくしゃ)
客人 (きゃくじん)
客船 (きゃくせん)
客土 (きゃくど)
客間 (きゃくま)
気安 (きやす)
休館 (きゅうかん)
休業 (きゅうぎょう)
球形 (きゅうけい)
急行 (きゅうこう)
球根 (きゅうこん)
急死 (きゅうし)
急所 (きゅうしょ)
急進 (きゅうしん)
球場 (きゅうじょう)
級数 (きゅうすう)
急送 (きゅうそう)
休息 (きゅうそく)
急速 (きゅうそく)
球体 (きゅうたい)
宮中 (きゅうちゅう)
級長 (きゅうちょう)
急転 (きゅうてん)
急場 (きゅうば)
急病 (きゅうびょう)
究明 (きゅうめい)
球面 (きゅうめん)
級友 (きゅうゆう)
