過半数 (かはんすう)
過不足 (かふそく)
家父長制 (かふちょうせい)
可付番 (かふばん)
過分 (かぶん)
可変 (かへん)
可変長 (かへんちょう)
花弁 (かべん)
過保護 (かほご)
仮名 (かめい)
仮面 (かめん)
仮住い (かりずまい)
仮調印 (かりちょういん)
可愛 (かわい)
河口 (かわぐち)
河原 (かわら)
官許 (かんきょ)
感興 (かんきょう)
刊行 (かんこう)
慣行 (かんこう)
管財 (かんざい)
官舎 (かんしゃ)
感謝 (かんしゃ)
慣習 (かんしゅう)
幹事 (かんじ)
感受性 (かんじゅせい)
感情 (かんじょう)
官製 (かんせい)
感性 (かんせい)
慣性 (かんせい)
管制 (かんせい)
間接 (かんせつ)
幹線 (かんせん)
関税 (かんぜい)
観測 (かんそく)
間断 (かんだん)
官能 (かんのう)
感応 (かんのう)
完備 (かんび)
幹部 (かんぶ)
官報 (かんぽう)
慣用 (かんよう)
管理職 (かんりしょく)
慣例 (かんれい)
外圧 (がいあつ)
外因 (がいいん)
外資 (がいし)
外接 (がいせつ)
外敵 (がいてき)
外務 (がいむ)
学資 (がくし)
学識 (がくしき)
学術 (がくじゅつ)
学制 (がくせい)
学則 (がくそく)
楽団 (がくだん)
学務 (がくむ)
額面 (がくめん)
画質 (がしつ)
賀正 (がしょう)
賀状 (がじょう)
画像 (がぞう)
楽句 (がっく)
合財 (がっさい)
眼下 (がんか)
眼科 (がんか)
眼科医 (がんかい)
眼球 (がんきゅう)
眼鏡 (がんきょう)
眼光 (がんこう)
眼高手低 (がんこうしゅてい)
元祖 (がんそ)
眼中 (がんちゅう)
眼目 (がんもく)
眼力 (がんりき)
気圧 (きあつ)
起因 (きいん)
規格 (きかく)
基幹 (きかん)
季刊 (きかん)
気管支 (きかんし)
気構え (きがまえ)
起居 (ききょ)
基金 (ききん)
寄金 (ききん)
期限 (きげん)
寄港 (きこう)
機構 (きこう)
気質 (きしつ)
寄宿 (きしゅく)
気性 (きしょう)
起承転結 (きしょうてんけつ)
寄進 (きしん)
記述 (きじゅつ)
基準 (きじゅん)
規準 (きじゅん)
寄生 (きせい)
気勢 (きせい)
規制 (きせい)
規正 (きせい)
基線 (きせん)
気絶 (きぜつ)
規則 (きそく)
帰属 (きぞく)
気団 (きだん)
基地 (きち)
基調 (きちょう)
基底 (きてい)
規定 (きてい)
規程 (きてい)
基点 (きてん)
帰任 (きにん)
機能 (きのう)
気張 (きば)
寄付 (きふ)
基本 (きほん)
客演 (きゃくえん)
規約 (きやく)
休演 (きゅうえん)
旧家 (きゅうか)
旧仮名 (きゅうかな)
休刊 (きゅうかん)
旧館 (きゅうかん)
球技 (きゅうぎ)
急減 (きゅうげん)
休耕 (きゅうこう)
休講 (きゅうこう)
救護 (きゅうご)
旧式 (きゅうしき)
休職 (きゅうしょく)
求職 (きゅうしょく)
球状 (きゅうじょう)
急性 (きゅうせい)
旧制 (きゅうせい)
急増 (きゅうぞう)
旧態 (きゅうたい)
球団 (きゅうだん)
旧知 (きゅうち)
旧道 (きゅうどう)
旧年 (きゅうねん)
旧版 (きゅうはん)
急報 (きゅうほう)
急務 (きゅうむ)
旧友 (きゅうゆう)
旧来 (きゅうらい)
共益 (きょうえき)
競演 (きょうえん)
共演 (きょうえん)
境界 (きょうかい)
競技 (きょうぎ)
教義 (きょうぎ)
経木 (きょうぎ)
教護 (きょうご)
協賛 (きょうさん)
教師 (きょうし)
教職 (きょうしょく)
教示 (きょうじ)
教授 (きょうじゅ)
教条 (きょうじょう)
強制 (きょうせい)
教祖 (きょうそ)
教則 (きょうそく)
鏡像 (きょうぞう)
教団 (きょうだん)
境地 (きょうち)
教程 (きょうてい)
強敵 (きょうてき)
経典 (きょうてん)
経堂 (きょうどう)
共犯 (きょうはん)
強弁 (きょうべん)
興味 (きょうみ)
教務 (きょうむ)
共和制 (きょうわせい)
許可 (きょか)
曲技 (きょくぎ)
局限 (きょくげん)
極限 (きょくげん)
局在 (きょくざい)
局所解 (きょくしょかい)
極性 (きょくせい)
局留 (きょくどめ)
局留め (きょくどめ)
曲率 (きょくりつ)
居室 (きょしつ)
居所 (きょしょ)
居住 (きょじゅう)
去勢 (きょせい)
曲解 (きょっかい)
許容 (きょよう)
居留 (きょりゅう)
均一 (きんいつ)
近因 (きんいん)
近刊 (きんかん)
金額 (きんがく)
近眼 (きんがん)
禁句 (きんく)
金券 (きんけん)
禁固 (きんこ)
金鉱 (きんこう)
近在 (きんざい)
禁止 (きんし)
均質 (きんしつ)
禁酒 (きんしゅ)
近似 (きんじ)
均整 (きんせい)
禁制 (きんせい)
近接 (きんせつ)
金銭 (きんせん)
禁足 (きんそく)
禁足令 (きんそくれい)
金属 (きんぞく)
禁断 (きんだん)
禁治産 (きんちさん)
均等 (きんとう)
均分 (きんぶん)
禁物 (きんもつ)
禁輸 (きんゆ)
禁漁 (きんりょう)
技官 (ぎかん)
技士 (ぎし)
技師 (ぎし)
義手 (ぎしゅ)
技術 (ぎじゅつ)
義足 (ぎそく)
技能 (ぎのう)
義父 (ぎふ)
技法 (ぎほう)
義母 (ぎぼ)
義務 (ぎむ)
義務づけ (ぎむづけ)
逆算 (ぎゃくさん)
逆順 (ぎゃくじゅん)
逆上 (ぎゃくじょう)
逆数 (ぎゃくすう)
逆接 (ぎゃくせつ)
逆説 (ぎゃくせつ)
逆転 (ぎゃくてん)
逆風 (ぎゃくふう)
逆用 (ぎゃくよう)
逆理 (ぎゃくり)
逆流 (ぎゃくりゅう)
逆境 (ぎゃっきょう)
逆行 (ぎゃっこう)
行政 (ぎょうせい)
業績 (ぎょうせき)
