巻末 (かんまつ)
干満 (かんまん)
簡明 (かんめい)
完訳 (かんやく)
簡約 (かんやく)
観覧 (かんらん)
簡略 (かんりゃく)
簡略化 (かんりゃくか)
外延 (がいえん)
外勤 (がいきん)
外傷 (がいしょう)
外層 (がいそう)
外乱 (がいらん)
楽劇 (がくげき)
学窓 (がくそう)
学割 (がくわり)
学会誌 (がっかいし)
合衆国 (がっしゅうこく)
合奏 (がっそう)
我欲 (がよく)
我流 (がりゅう)
貴意 (きい)
気宇 (きう)
貴下 (きか)
貴簡 (きかん)
危害 (きがい)
危機 (きき)
帰郷 (ききょう)
貴金属 (ききんぞく)
貴君 (きくん)
貴兄 (きけい)
危険 (きけん)
喜劇 (きげき)
起源 (きげん)
貴校 (きこう)
貴公子 (きこうし)
貴国 (きこく)
気骨 (きこつ)
貴様 (きさま)
気障 (きざ)
貴誌 (きし)
貴社 (きしゃ)
貴書 (きしょ)
貴信 (きしん)
貴女 (きじょ)
机上 (きじょう)
傷口 (きずぐち)
貴族 (きぞく)
期待値 (きたいち)
帰宅 (きたく)
貴台 (きだい)
貴地 (きち)
貴重 (きちょう)
貴店 (きてん)
絹糸 (きぬいと)
帰納 (きのう)
揮発 (きはつ)
揮発油 (きはつゆ)
貴方 (きほう)
規模 (きぼ)
気骨 (きぼね)
機密 (きみつ)
気難し (きむずかし)
気難し (きむづかし)
吸引 (きゅういん)
吸気 (きゅうき)
吸血 (きゅうけつ)
急激 (きゅうげき)
急降下 (きゅうこうか)
救済 (きゅうさい)
吸収 (きゅうしゅう)
宮城 (きゅうじょう)
吸水 (きゅうすい)
吸着 (きゅうちゃく)
吸入 (きゅうにゅう)
急派 (きゅうは)
胸囲 (きょうい)
供応 (きょうおう)
供給 (きょうきゅう)
供血 (きょうけつ)
強権 (きょうけん)
京劇 (きょうげき)
胸骨 (きょうこつ)
共済 (きょうさい)
胸式 (きょうしき)
供出 (きょうしゅつ)
供述 (きょうじゅつ)
協奏曲 (きょうそうきょく)
共存 (きょうそん)
胸像 (きょうぞう)
京染 (きょうぞめ)
共存 (きょうぞん)
胸中 (きょうちゅう)
共著 (きょうちょ)
郷土 (きょうど)
胸部 (きょうぶ)
供覧 (きょうらん)
郷里 (きょうり)
極論 (きょくろん)
去就 (きょしゅう)
居宅 (きょたく)
挙党 (きょとう)
許認可 (きょにんか)
切株 (きりかぶ)
切傷 (きりきず)
切捨て (きりすて)
規律 (きりつ)
切盛り (きりもり)
金権 (きんけん)
筋骨 (きんこつ)
金策 (きんさく)
近視 (きんし)
近似値 (きんじち)
金城湯池 (きんじょうとうち)
勤続 (きんぞく)
近著 (きんちょ)
筋肉 (きんにく)
筋肉痛 (きんにくつう)
勤勉 (きんべん)
勤務 (きんむ)
勤務先 (きんむさき)
禁欲 (きんよく)
金欲 (きんよく)
筋力 (きんりょく)
勤労 (きんろう)
疑義 (ぎぎ)
疑心 (ぎしん)
疑似 (ぎじ)
疑念 (ぎねん)
疑変数 (ぎへんすう)
疑問 (ぎもん)
疑問視 (ぎもんし)
牛乳 (ぎゅうにゅう)
行革 (ぎょうかく)
玉座 (ぎょくざ)
議論 (ぎろん)
銀座 (ぎんざ)
銀幕 (ぎんまく)
区域 (くいき)
空域 (くういき)
空腹 (くうふく)
空論 (くうろん)
口紅 (くちべに)
苦痛 (くつう)
苦難 (くなん)
首筋 (くびすじ)
供物 (くもつ)
供養 (くよう)
黒砂糖 (くろざとう)
黒潮 (くろしお)
黒幕 (くろまく)
区割り (くわり)
君臨 (くんりん)
軍拡 (ぐんかく)
群衆 (ぐんしゅう)
軍縮 (ぐんしゅく)
敬愛 (けいあい)
敬意 (けいい)
敬遠 (けいえん)
警官 (けいかん)
敬具 (けいぐ)
警告 (けいこく)
敬語 (けいご)
警護 (けいご)
警察 (けいさつ)
警察官 (けいさつかん)
警察署 (けいさつしょ)
経済 (けいざい)
経済界 (けいざいかい)
経済面 (けいざいめん)
警視 (けいし)
軽視 (けいし)
軽傷 (けいしょう)
系図 (けいず)
軽装 (けいそう)
警笛 (けいてき)
系統 (けいとう)
系統樹 (けいとうじゅ)
警備 (けいび)
敬服 (けいふく)
警部 (けいぶ)
警報 (けいほう)
形容詞 (けいようし)
敬礼 (けいれい)
系列 (けいれつ)
敬老 (けいろう)
欠勤 (けっきん)
決済 (けっさい)
決裁 (けっさい)
結党 (けっとう)
血糖 (けっとう)
結盟 (けつめい)
結論 (けつろん)
毛並 (けなみ)
県警 (けんけい)
権限 (けんげん)
検視 (けんし)
検収 (けんしゅう)
憲章 (けんしょう)
検針 (けんしん)
権勢 (けんせい)
県庁 (けんちょう)
検討 (けんとう)
検討会 (けんとうかい)
険難 (けんなん)
権能 (けんのう)
絹布 (けんぷ)
憲兵 (けんぺい)
憲法 (けんぽう)
権利 (けんり)
権力 (けんりょく)
下巻 (げかん)
激化 (げきか)
劇画 (げきが)
激減 (げきげん)
激賛 (げきさん)
激暑 (げきしょ)
激職 (げきしょく)
劇場 (げきじょう)
激情 (げきじょう)
激戦 (げきせん)
激増 (げきぞう)
劇団 (げきだん)
激痛 (げきつう)
劇的 (げきてき)
激動 (げきどう)
激発 (げきはつ)
激変 (げきへん)
激務 (げきむ)
劇薬 (げきやく)
激流 (げきりゅう)
激論 (げきろん)
夏至 (げし)
下段 (げだん)
月収 (げっしゅう)
限界値 (げんかいち)
厳格 (げんかく)
厳寒 (げんかん)
厳禁 (げんきん)
厳守 (げんしゅ)
減収 (げんしゅう)
源氏 (げんじ)
厳重 (げんじゅう)
原寸 (げんすん)
厳正 (げんせい)
厳選 (げんせん)
源泉 (げんせん)
厳然 (げんぜん)
現存 (げんそん)
現存 (げんぞん)
厳達 (げんたつ)
原著 (げんちょ)
厳冬 (げんとう)
厳秘 (げんぴ)
厳父 (げんぷ)
厳密 (げんみつ)
厳命 (げんめい)
源流 (げんりゅう)
原論 (げんろん)
言論 (げんろん)
広域 (こういき)
紅一点 (こういってん)
降雨 (こうう)
降下 (こうか)
降格 (こうかく)
鋼管 (こうかん)
紅顔 (こうがん)
高貴 (こうき)
皇居 (こうきょ)
皇宮 (こうぐう)
光源 (こうげん)
孝行 (こうこう)
孝行 (こうこう)
皇后 (こうごう)
黄砂 (こうさ)
高裁 (こうさい)
降参 (こうさん)
口座 (こうざ)
講座 (こうざ)
鋼材 (こうざい)
公私 (こうし)
皇子 (こうし)
皇室 (こうしつ)
降車 (こうしゃ)
公衆 (こうしゅう)
公衆電話 (こうしゅうでんわ)
降水 (こうすい)
降雪 (こうせつ)
鉱泉 (こうせん)
高専 (こうせん)
高層 (こうそう)
皇族 (こうぞく)
皇太后 (こうたいごう)
皇太子 (こうたいし)
降誕 (こうたん)
後段 (こうだん)
紅茶 (こうちゃ)
降着 (こうちゃく)
紅潮 (こうちょう)
高潮 (こうちょう)
工賃 (こうちん)
鋼鉄 (こうてつ)
公認 (こうにん)
紅白 (こうはく)
紅梅 (こうばい)
興奮 (こうふん)
候補 (こうほ)
