強弱 (きょうじゃく)
教場 (きょうじょう)
教生 (きょうせい)
強大 (きょうだい)
兄弟 (きょうだい)
教頭 (きょうとう)
今日日 (きょうび)
強風 (きょうふう)
京間 (きょうま)
強力 (きょうりょく)
気弱 (きよわ)
帰来 (きらい)
気楽 (きらく)
切上げ (きりあげ)
切口 (きりくち)
切下げ (きりさげ)
金色 (きんいろ)
近火 (きんか)
近海 (きんかい)
金魚 (きんぎょ)
金工 (きんこう)
近作 (きんさく)
近親 (きんしん)
近日 (きんじつ)
金星 (きんせい)
近年 (きんねん)
金星 (きんぼし)
金曜 (きんよう)
金曜日 (きんようび)
近来 (きんらい)
牛車 (ぎっしゃ)
牛後 (ぎゅうご)
牛肉 (ぎゅうにく)
牛馬 (ぎゅうば)
牛歩 (ぎゅうほ)
行間 (ぎょうかん)
行書 (ぎょうしょ)
行水 (ぎょうずい)
行頭 (ぎょうとう)
魚肉 (ぎょにく)
空間 (くうかん)
空自 (くうじ)
空前 (くうぜん)
空母 (くうぼ)
草分け (くさわけ)
口当り (くちあたり)
口絵 (くちえ)
口数 (くちかず)
口数 (くちすう)
口走 (くちばし)
口元 (くちもと)
組合 (くみあい)
組合せ (くみあわせ)
雲間 (くもま)
黒石 (くろいし)
黒字 (くろじ)
黒土 (くろつち)
黒星 (くろぼし)
黒目 (くろめ)
黒山 (くろやま)
計画 (けいかく)
計算 (けいさん)
計算書 (けいさんしょ)
計上 (けいじょう)
計数 (けいすう)
兄弟 (けいてい)
毛糸 (けいと)
今朝 (けさ)
気色 (けしき)
気色ば (けしきば)
気高 (けだか)
毛虫 (けむし)
家来 (けらい)
見地 (けんち)
見当 (けんとう)
見聞 (けんぶん)
外科 (げか)
下戸 (げこ)
下水道 (げすいどう)
下船 (げせん)
下足番 (げそくばん)
月間 (げっかん)
月光 (げっこう)
月食 (げっしょく)
月曜 (げつよう)
月曜日 (げつようび)
下馬 (げば)
言下 (げんか)
原画 (げんが)
言外 (げんがい)
元気 (げんき)
原形 (げんけい)
言行 (げんこう)
原語 (げんご)
言語 (げんご)
原作 (げんさく)
原子 (げんし)
原紙 (げんし)
元首 (げんしゅ)
原書 (げんしょ)
原色 (げんしょく)
原子力 (げんしりょく)
原図 (げんず)
原石 (げんせき)
原点 (げんてん)
原文 (げんぶん)
原木 (げんぼく)
原本 (げんぽん)
言明 (げんめい)
原野 (げんや)
原理 (げんり)
小池 (こいけ)
公園 (こうえん)
高音 (こうおん)
工科 (こうか)
校歌 (こうか)
公海 (こうかい)
広角 (こうかく)
口外 (こうがい)
校外 (こうがい)
後学 (こうがく)
光学 (こうがく)
工学 (こうがく)
高学年 (こうがくねん)
工学科 (こうがっか)
後記 (こうき)
公休 (こうきゅう)
公金 (こうきん)
高空 (こうくう)
後見 (こうけん)
公言 (こうげん)
高原 (こうげん)
考古 (こうこ)
高校 (こうこう)
高校生 (こうこうせい)
公国 (こうこく)
口語 (こうご)
工作 (こうさく)
公算 (こうさん)
高山 (こうざん)
公社 (こうしゃ)
工場 (こうじょう)
工数 (こうすう)
後生 (こうせい)
公正 (こうせい)
光線 (こうせん)
小歌 (こうた)
広大 (こうだい)
校長 (こうちょう)
交通 (こうつう)
後天 (こうてん)
交点 (こうてん)
口頭 (こうとう)
黄土 (こうど)
黄道 (こうどう)
公道 (こうどう)
校内 (こうない)
後年 (こうねん)
高年 (こうねん)
後半 (こうはん)
工場 (こうば)
交番 (こうばん)
校風 (こうふう)
公文書 (こうぶんしょ)
後方 (こうほう)
高木 (こうぼく)
公明 (こうめい)
高名 (こうめい)
公明正大 (こうめいせいだい)
校門 (こうもん)
広野 (こうや)
交友 (こうゆう)
公用 (こうよう)
行楽 (こうらく)
行楽 (こうらく)
小売 (こうり)
公立 (こうりつ)
戸外 (こがい)
子会社 (こがいしゃ)
小形 (こがた)
黄金 (こがね)
小切手 (こぎって)
国王 (こくおう)
国外 (こくがい)
国語 (こくご)
国書 (こくしょ)
黒人 (こくじん)
国大 (こくだい)
石高 (こくだか)
国電 (こくでん)
国土 (こくど)
国道 (こくどう)
国内 (こくない)
国内線 (こくないせん)
国名 (こくめい)
黒曜石 (こくようせき)
国立 (こくりつ)
心地 (ここち)
心地よ (ここちよ)
心強 (こころづよ)
心細 (こころぼそ)
心行 (こころゆ)
古今 (ここん)
古語 (こご)
小言 (こごと)
小細工 (こざいく)
古書 (こしょ)
古寺 (こじ)
戸数 (こすう)
小高 (こだか)
国家 (こっか)
国歌 (こっか)
国会 (こっかい)
黒海 (こっかい)
国交 (こっこう)
国公立 (こっこうりつ)
今年 (ことし)
小鳥 (ことり)
小春 (こはる)
小半時 (こはんとき)
小話 (こばなし)
古風 (こふう)
古文 (こぶん)
細切れ (こまぎれ)
小回り (こまわり)
小道 (こみち)
小麦 (こむぎ)
古名 (こめい)
古文書 (こもんじょ)
古来 (こらい)
声色 (こわいろ)
声音 (こわね)
今夏 (こんか)
今回 (こんかい)
今月 (こんげつ)
今後 (こんご)
今秋 (こんしゅう)
今週 (こんしゅう)
今春 (こんしゅん)
今時 (こんじ)
金色 (こんじき)
今生 (こんじょう)
今夕 (こんせき)
今日 (こんにち)
今年 (こんねん)
今夜 (こんや)
強引 (ごういん)
合金 (ごうきん)
合計 (ごうけい)
合字 (ごうじ)
合同 (ごうどう)
合名 (ごうめい)
合名会社 (ごうめいがいしゃ)
合理 (ごうり)
強力 (ごうりき)
ご回答 (ごかいとう)
語学 (ごがく)
語気 (ごき)
ご記入 (ごきにゅう)
五行 (ごぎょう)
後家 (ごけ)
後光 (ごこう)
心地 (ごこち)
午後 (ごご)
後生 (ごしょう)
後日 (ごじつ)
五十歩百歩 (ごじゅっぽひゃっぽ)
語数 (ごすう)
五線紙 (ごせんし)
午前 (ごぜん)
ご多用中 (ごたようちゅう)
ご通知 (ごつうち)
語頭 (ごとう)
五分 (ごぶ)
ご来光 (ごらいこう)
ご来場 (ごらいじょう)
ご来店 (ごらいてん)
言上 (ごんじょう)
才気 (さいき)
細工 (さいく)
才色 (さいしょく)
細心 (さいしん)
才女 (さいじょ)
細大 (さいだい)
才知 (さいち)
才走 (さいばし)
細分 (さいぶん)
細目 (さいもく)
左記 (さき)
先走 (さきばし)
先回り (さきまわり)
先行き (さきゆき)
作画 (さくが)
作字 (さくじ)
作図 (さくず)
作風 (さくふう)
作文 (さくぶん)
山茶花 (さざんか)
作家 (さっか)
茶道 (さどう)
作用 (さよう)
茶話会 (さわかい)
三角 (さんかく)
山間 (さんかん)
算出 (さんしゅつ)
三食 (さんしょく)
算数 (さんすう)
山地 (さんち)
算入 (さんにゅう)
三番 (さんばん)
三分 (さんぶん)
算用 (さんよう)
市会 (しかい)
四角 (しかく)
四角 (しかく)
市外 (しがい)
色紙 (しきし)
時雨 (しぐれ)
思考 (しこう)
子細 (しさい)
市場 (しじょう)
紙上 (しじょう)
下絵 (したえ)
下書き (したがき)
下地 (したじ)
下回 (したまわ)
市中 (しちゅう)
市長 (しちょう)
市町村 (しちょうそん)
七曜 (しちよう)
室外 (しつがい)
室長 (しつちょう)
室内 (しつない)
室内楽 (しつないがく)
市電 (しでん)
市内 (しない)
竹刀 (しない)
四方 (しほう)
姉妹 (しまい)
紙魚 (しみ)
社会 (しゃかい)
社外 (しゃがい)
社交 (しゃこう)
車高 (しゃこう)
社寺 (しゃじ)
車線 (しゃせん)
車体 (しゃたい)
社中 (しゃちゅう)
社長 (しゃちょう)
車道 (しゃどう)
社内 (しゃない)
車内 (しゃない)
社風 (しゃふう)
社名 (しゃめい)
社用 (しゃよう)
週間 (しゅうかん)
週休 (しゅうきゅう)
秋分 (しゅうぶん)
手記 (しゅき)
首長 (しゅちょう)
出国 (しゅっこく)
出社 (しゅっしゃ)
出色 (しゅっしょく)
出走 (しゅっそう)
出来 (しゅったい)
出店 (しゅってん)
出頭 (しゅっとう)
出自 (しゅつじ)
出場 (しゅつじょう)
出入国 (しゅつにゅうこく)
出馬 (しゅつば)
出来 (しゅつらい)
手話 (しゅわ)
春夏秋冬 (しゅんかしゅうとう)
春秋 (しゅんじゅう)
春雪 (しゅんせつ)
春分 (しゅんぶん)
小計 (しょうけい)
小国 (しょうこく)
生国 (しょうこく)
正午 (しょうご)
生国 (しょうごく)
小社 (しょうしゃ)
小食 (しょうしょく)
少食 (しょうしょく)
小心 (しょうしん)
正直 (しょうじき)
少女 (しょうじょ)
小数 (しょうすう)
少数 (しょうすう)
小雪 (しょうせつ)
正体 (しょうたい)
少年 (しょうねん)
書画 (しょが)
書記 (しょき)
書記長 (しょきちょう)
食後 (しょくご)
食生活 (しょくせいかつ)
食前 (しょくぜん)
食通 (しょくつう)
食道 (しょくどう)
食肉 (しょくにく)
食用 (しょくよう)
書見 (しょけん)
書生 (しょせい)
書体 (しょたい)
書中 (しょちゅう)
食間 (しょっかん)
書店 (しょてん)
書道 (しょどう)
書名 (しょめい)
白羽 (しらは)
知合い (しりあい)
市立 (しりつ)
後目 (しりめ)
四六時中 (しろくじちゅう)
白黒 (しろくろ)
白地 (しろじ)
白星 (しろぼし)
新入り (しんいり)
心音 (しんおん)
心外 (しんがい)
新顔 (しんがお)
親近 (しんきん)
親交 (しんこう)
新作 (しんさく)
新車 (しんしゃ)
新春 (しんしゅん)
新書 (しんしょ)
心中 (しんじゅう)
新人 (しんじん)
新星 (しんせい)
新生 (しんせい)
新雪 (しんせつ)
親切 (しんせつ)
心線 (しんせん)
新地 (しんち)
心中 (しんちゅう)
新田 (しんでん)
心電図 (しんでんず)
心頭 (しんとう)
新入 (しんにゅう)
新入学 (しんにゅうがく)
新入生 (しんにゅうせい)
新年 (しんねん)
新年会 (しんねんかい)
新聞 (しんぶん)
新風 (しんぷう)
新本 (しんぽん)
