左目 (ひだりめ)
一足 (ひとあし)
一口 (ひとくち)
人手 (ひとで)
人出 (ひとで)
一人 (ひとり)
一人っ子 (ひとりっこ)
一人ぼっち (ひとりぼっち)
日日 (ひにち)
火花 (ひばな)
二人 (ふたり)
二人して (ふたりして)
二日 (ふつか)
文月 (ふづき)
文月 (ふみづき)
文学 (ぶんがく)
文中 (ぶんちゅう)
下手 (へた)
本気 (ほんき)
本校 (ほんこう)
本山 (ほんざん)
本日 (ほんじつ)
本立 (ほんたて)
本土 (ほんど)
本人 (ほんにん)
本音 (ほんね)
本年 (ほんねん)
本文 (ほんぶん)
本名 (ほんみょう)
正木 (まさき)
正目 (まさめ)
町中 (まちじゅう)
町中 (まちぢゅう)
町中 (まちなか)
見上げ (みあげ)
見入 (みい)
見出 (みいだ)
見下ろ (みおろ)
三日月 (みかづき)
右足 (みぎあし)
右上 (みぎうえ)
右下 (みぎした)
右手 (みぎて)
右目 (みぎめ)
見下 (みくだ)
三下り半 (みくだりはん)
見下げ (みさげ)
水入らず (みずいらず)
水気 (みずけ)
水玉 (みずたま)
水虫 (みずむし)
見立て (みたて)
見出 (みだ)
見出し (みだし)
三日 (みっか)
見本 (みほん)
名字 (みょうじ)
六日 (むいか)
名犬 (めいけん)
名月 (めいげつ)
名手 (めいしゅ)
名人 (めいじん)
名水 (めいすい)
名文 (めいぶん)
名目 (めいもく)
目上 (めうえ)
目先 (めさき)
目下 (めした)
目白 (めじろ)
目立 (めだ)
目玉 (めだま)
木目 (もくめ)
文字 (もじ)
本木 (もとき)
山川 (やまかわ)
山手 (やまて)
夕立ち (ゆうだち)
夕日 (ゆうひ)
八日 (ようか)
四日 (よっか)
力学 (りきがく)
林立 (りんりつ)
早生 (わせ)
