間欠 (かんけつ)
完工 (かんこう)
観光 (かんこう)
観光客 (かんこうきゃく)
観察 (かんさつ)
観賞 (かんしょう)
関心 (かんしん)
関心事 (かんしんじ)
官女 (かんじょ)
関数 (かんすう)
完成 (かんせい)
関節 (かんせつ)
観戦 (かんせん)
完全 (かんぜん)
完走 (かんそう)
寒帯 (かんたい)
関知 (かんち)
管長 (かんちょう)
感付 (かんづ)
観点 (かんてん)
管内 (かんない)
神無月 (かんなづき)
観念 (かんねん)
観音 (かんのん)
寒梅 (かんばい)
完売 (かんばい)
完敗 (かんぱい)
関白 (かんぱく)
官民 (かんみん)
感無量 (かんむりょう)
関門 (かんもん)
観葉植物 (かんようしょくぶつ)
管理 (かんり)
管理者 (かんりしゃ)
管理人 (かんりにん)
寒冷 (かんれい)
関連 (かんれん)
害悪 (がいあく)
外貨 (がいか)
外観 (がいかん)
外交官 (がいこうかん)
外材 (がいざい)
外周 (がいしゅう)
外信 (がいしん)
外積 (がいせき)
害虫 (がいちゅう)
外的 (がいてき)
外伝 (がいでん)
外灯 (がいとう)
街灯 (がいとう)
街頭 (がいとう)
害毒 (がいどく)
外輪 (がいりん)
街路 (がいろ)
学位 (がくい)
学芸 (がくげい)
学士 (がくし)
学説 (がくせつ)
学卒 (がくそつ)
楽隊 (がくたい)
学的 (がくてき)
学堂 (がくどう)
楽堂 (がくどう)
学費 (がくひ)
学歴 (がくれき)
画材 (がざい)
学課 (がっか)
楽器 (がっき)
合唱 (がっしょう)
岩塩 (がんえん)
願書 (がんしょ)
願望 (がんぼう)
元利 (がんり)
顔料 (がんりょう)
起案 (きあん)
機運 (きうん)
器械 (きかい)
機会 (きかい)
機械 (きかい)
機械化 (きかいか)
器官 (きかん)
機関 (きかん)
気管 (きかん)
機関車 (きかんしゃ)
器楽 (きがく)
機器 (きき)
希求 (ききゅう)
器具 (きぐ)
機具 (きぐ)
気位 (きぐらい)
気苦労 (きぐろう)
帰結 (きけつ)
紀元 (きげん)
紀元前 (きげんぜん)
気候 (きこう)
気功 (きこう)
紀行 (きこう)
季語 (きご)
帰参 (きさん)
機材 (きざい)
岸辺 (きしべ)
旗手 (きしゅ)
機種 (きしゅ)
機首 (きしゅ)
期初 (きしょ)
希少 (きしょう)
気象 (きしょう)
気象台 (きしょうだい)
起重機 (きじゅうき)
機上 (きじょう)
帰省 (きせい)
季節 (きせつ)
機体 (きたい)
北側 (きたがわ)
機知 (きち)
機長 (きちょう)
着付け (きつけ)
気付 (きづ)
気付 (きづけ)
機転 (きてん)
機動 (きどう)
機動隊 (きどうたい)
希土類 (きどるい)
機内 (きない)
記念 (きねん)
記念品 (きねんひん)
記念日 (きねんび)
昨日 (きのう)
起票 (きひょう)
記法 (きほう)
希望 (きぼう)
期末 (きまつ)
君達 (きみたち)
客席 (きゃくせき)
客観 (きゃっかん)
求愛 (きゅうあい)
九官鳥 (きゅうかんちょう)
救急 (きゅうきゅう)
救急車 (きゅうきゅうしゃ)
究極 (きゅうきょく)
給金 (きゅうきん)
急告 (きゅうこく)
救出 (きゅうしゅつ)
給食 (きゅうしょく)
給仕 (きゅうじ)
救助 (きゅうじょ)
救助隊 (きゅうじょたい)
求人 (きゅうじん)
給水 (きゅうすい)
救世主 (きゅうせいしゅ)
急成長 (きゅうせいちょう)
求積 (きゅうせき)
休戦 (きゅうせん)
急停車 (きゅうていしゃ)
給電 (きゅうでん)
給湯 (きゅうとう)
急熱 (きゅうねつ)
給付 (きゅうふ)
給付金 (きゅうふきん)
急変 (きゅうへん)
救命 (きゅうめい)
給油 (きゅうゆ)
休養 (きゅうよう)
給料 (きゅうりょう)
給料日 (きゅうりょうび)
急冷 (きゅうれい)
競泳 (きょうえい)
共栄 (きょうえい)
協会 (きょうかい)
共感 (きょうかん)
教官 (きょうかん)
共学 (きょうがく)
協議 (きょうぎ)
協業 (きょうぎょう)
教訓 (きょうくん)
強健 (きょうけん)
強固 (きょうこ)
強行軍 (きょうこうぐん)
競合 (きょうごう)
競作 (きょうさく)
共産 (きょうさん)
教材 (きょうざい)
共時 (きょうじ)
共生 (きょうせい)
競争 (きょうそう)
競走 (きょうそう)
鏡台 (きょうだい)
協調 (きょうちょう)
共通 (きょうつう)
共通 (きょうつう)
協定 (きょうてい)
教徒 (きょうと)
共同 (きょうどう)
協同 (きょうどう)
共同体 (きょうどうたい)
競売 (きょうばい)
共分散 (きょうぶんさん)
競歩 (きょうほ)
共鳴 (きょうめい)
鏡面 (きょうめん)
協約 (きょうやく)
共有 (きょうゆう)
共用 (きょうよう)
強要 (きょうよう)
教養 (きょうよう)
共立 (きょうりつ)
協力 (きょうりょく)
強冷 (きょうれい)
共和 (きょうわ)
協和 (きょうわ)
共和国 (きょうわこく)
曲芸 (きょくげい)
極言 (きょくげん)
極小 (きょくしょう)
極少 (きょくしょう)
曲折 (きょくせつ)
極大 (きょくだい)
極地 (きょくち)
極点 (きょくてん)
極東 (きょくとう)
極度 (きょくど)
極力 (きょくりょく)
挙行 (きょこう)
挙止 (きょし)
挙式 (きょしき)
挙手 (きょしゅ)
挙動 (きょどう)
器用 (きよう)
切札 (きりふだ)
器量 (きりょう)
記録 (きろく)
金貨 (きんか)
近景 (きんけい)
金種 (きんしゅ)
金賞 (きんしょう)
