時節 (じせつ)
自説 (じせつ)
自選 (じせん)
持続 (じぞく)
自治 (じち)
自治会 (じちかい)
自治体 (じちたい)
実機 (じっき)
実験 (じっけん)
実戦 (じっせん)
実費 (じっぴ)
実印 (じついん)
実害 (じつがい)
実働 (じつどう)
実利 (じつり)
実例 (じつれい)
実録 (じつろく)
事典 (じてん)
辞典 (じてん)
自伝 (じでん)
自得 (じとく)
児童 (じどう)
地熱 (じねつ)
自費 (じひ)
辞表 (じひょう)
事変 (じへん)
重唱 (じゅうしょう)
重賞 (じゅうしょう)
住所録 (じゅうしょろく)
十二指腸 (じゅうにしちょう)
住民 (じゅうみん)
住民課 (じゅうみんか)
重要 (じゅうよう)
重量 (じゅうりょう)
重量挙げ (じゅうりょうあげ)
受給 (じゅきゅう)
受験 (じゅけん)
受験生 (じゅけんせい)
受賞 (じゅしょう)
受信 (じゅしん)
受粉 (じゅふん)
受話器 (じゅわき)
順位 (じゅんい)
順化 (じゅんか)
順次 (じゅんじ)
順調 (じゅんちょう)
順当 (じゅんとう)
順番 (じゅんばん)
順不同 (じゅんふどう)
順風 (じゅんぷう)
順法 (じゅんぽう)
順良 (じゅんりょう)
順路 (じゅんろ)
上位 (じょうい)
上官 (じょうかん)
上告 (じょうこく)
上司 (じょうし)
上新粉 (じょうしんこ)
上席 (じょうせき)
上達 (じょうたつ)
静脈 (じょうみゃく)
上陸 (じょうりく)
女史 (じょし)
女児 (じょじ)
助成 (じょせい)
事例 (じれい)
辞令 (じれい)
人材 (じんざい)
人種 (じんしゅ)
人事課 (じんじか)
人生観 (じんせいかん)
人選 (じんせん)
人的 (じんてき)
人望 (じんぼう)
人脈 (じんみゃく)
人民 (じんみん)
人類 (じんるい)
水位 (すいい)
水害 (すいがい)
水産 (すいさん)
水底 (すいてい)
水夫 (すいふ)
水脈 (すいみゃく)
水量 (すいりょう)
数量 (すうりょう)
末長 (すえなが)
末広 (すえひろ)
巣食 (すく)
巣立 (すだ)
巣箱 (すばこ)
図案 (ずあん)
図法 (ずほう)
図録 (ずろく)
成案 (せいあん)
成育 (せいいく)
成員 (せいいん)
清栄 (せいえい)
清音 (せいおん)
成果 (せいか)
正課 (せいか)
青果 (せいか)
静観 (せいかん)
世紀 (せいき)
世紀末 (せいきまつ)
生協 (せいきょう)
成業 (せいぎょう)
西軍 (せいぐん)
成形 (せいけい)
成功 (せいこう)
成語 (せいご)
成算 (せいさん)
清算 (せいさん)
生産 (せいさん)
生産高 (せいさんだか)
生産地 (せいさんち)
静止 (せいし)
清酒 (せいしゅ)
清書 (せいしょ)
清勝 (せいしょう)
成人 (せいじん)
生成 (せいせい)
整然 (せいぜん)
声帯 (せいたい)
成虫 (せいちゅう)
成長 (せいちょう)
静的 (せいてき)
静電気 (せいでんき)
生徒 (せいと)
成年 (せいねん)
成敗 (せいばい)
静物 (せいぶつ)
成分 (せいぶん)
声望 (せいぼう)
清明 (せいめい)
成約 (せいやく)
静養 (せいよう)
成立 (せいりつ)
清流 (せいりゅう)
整流器 (せいりゅうき)
声量 (せいりょう)
積算 (せきさん)
石材 (せきざい)
席上 (せきじょう)
積雪 (せきせつ)
関取 (せきとり)
赤熱 (せきねつ)
積年 (せきねん)
赤飯 (せきはん)
積分 (せきぶん)
積和 (せきわ)
世辞 (せじ)
世帯 (せたい)
折角 (せっかく)
石器 (せっき)
節気 (せっき)
説教 (せっきょう)
積極 (せっきょく)
殺生 (せっしょう)
殺生 (せっしょう)
節食 (せっしょく)
節水 (せっすい)
節足 (せっそく)
説得 (せっとく)
折半 (せっぱん)
説法 (せっぽう)
雪害 (せつがい)
節電 (せつでん)
節度 (せつど)
節分 (せつぶん)
切望 (せつぼう)
説明 (せつめい)
節約 (せつやく)
説話 (せつわ)
戦意 (せんい)
戦役 (せんえき)
戦果 (せんか)
戦火 (せんか)
先覚 (せんかく)
選外 (せんがい)
浅学 (せんがく)
戦記 (せんき)
選挙 (せんきょ)
戦局 (せんきょく)
選曲 (せんきょく)
選言 (せんげん)
選考 (せんこう)
戦後 (せんご)
戦国 (せんごく)
千差万別 (せんさばんべつ)
先史 (せんし)
戦士 (せんし)
戦死 (せんし)
戦車 (せんしゃ)
選手 (せんしゅ)
選集 (せんしゅう)
選出 (せんしゅつ)
戦時 (せんじ)
選者 (せんじゃ)
戦場 (せんじょう)
戦線 (せんせん)
戦前 (せんぜん)
戦争 (せんそう)
戦地 (せんち)
選定 (せんてい)
先入観 (せんにゅうかん)
船便 (せんびん)
戦費 (せんぴ)
選別 (せんべつ)
戦法 (せんぽう)
選民 (せんみん)
先約 (せんやく)
戦友 (せんゆう)
戦利 (せんり)
線量 (せんりょう)
戦力 (せんりょく)
先例 (せんれい)
全機 (ぜんき)
全景 (ぜんけい)
前菜 (ぜんさい)
全焼 (ぜんしょう)
全席 (ぜんせき)
全然 (ぜんぜん)
全治 (ぜんち)
前兆 (ぜんちょう)
全敗 (ぜんぱい)
前便 (ぜんびん)
全便 (ぜんびん)
前例 (ぜんれい)
前歴 (ぜんれき)
相愛 (そうあい)
草案 (そうあん)
相関 (そうかん)
争議 (そうぎ)
倉庫 (そうこ)
相好 (そうごう)
相殺 (そうさい)
送信 (そうしん)
相続 (そうぞく)
相対的 (そうたいてき)
送達 (そうたつ)
争点 (そうてん)
想念 (そうねん)
送付 (そうふ)
送別 (そうべつ)
送料 (そうりょう)
候文 (そうろうぶん)
束帯 (そくたい)
速達 (そくたつ)
側面 (そくめん)
足労 (そくろう)
底意地 (そこいじ)
底力 (そこぢから)
底冷え (そこびえ)
底引き (そこびき)
組成 (そせい)
側近 (そっきん)
卒中 (そっちゅう)
卒業 (そつぎょう)
卒業式 (そつぎょうしき)
外側 (そとがわ)
村民 (そんみん)
象虫 (ぞうむし)
続出 (ぞくしゅつ)
続投 (ぞくとう)
続発 (ぞくはつ)
続落 (ぞくらく)
続行 (ぞっこう)
他愛 (たあい)
他愛な (たあいな)
対案 (たいあん)
体位 (たいい)
隊員 (たいいん)
待機 (たいき)
大挙 (たいきょ)
太極 (たいきょく)
対極 (たいきょく)
体型 (たいけい)
体験 (たいけん)
大差 (たいさ)
対照 (たいしょう)
対象 (たいしょう)
大賞 (たいしょう)
対象外 (たいしょうがい)
大成 (たいせい)
体積 (たいせき)
対戦 (たいせん)
大戦 (たいせん)
体側 (たいそく)
対置 (たいち)
隊長 (たいちょう)
帯電 (たいでん)
帯刀 (たいとう)
体得 (たいとく)
大変 (たいへん)
大変 (たいへん)
大別 (たいべつ)
待望 (たいぼう)
大望 (たいぼう)
大要 (たいよう)
大陸 (たいりく)
大量 (たいりょう)
大輪 (たいりん)
大老 (たいろう)
高飛び (たかとび)
高望み (たかのぞみ)
多極 (たきょく)
多芸 (たげい)
他殺 (たさつ)
他種 (たしゅ)
多種 (たしゅ)
達者 (たっしゃ)
達成 (たっせい)
達筆 (たっぴつ)
達人 (たつじん)
達文 (たつぶん)
建売り (たてうり)
立付け (たてつけ)
建前 (たてまえ)
建物 (たてもの)
建屋 (たてや)
種明かし (たねあかし)
種明し (たねあかし)
他流試合 (たりゅうじあい)
多量 (たりょう)
単位 (たんい)
単一 (たんいつ)
単一化 (たんいつか)
単元 (たんげん)
単行 (たんこう)
単語 (たんご)
単車 (たんしゃ)
単身 (たんしん)
単数 (たんすう)
単線 (たんせん)
単体 (たんたい)
単調 (たんちょう)
単刀直入 (たんとうちょくにゅう)
単品 (たんぴん)
単文 (たんぶん)
短辺 (たんぺん)
単葉機 (たんようき)
代案 (だいあん)
代官 (だいかん)
題材 (だいざい)
大臣 (だいじん)
大好き (だいすき)
大隊 (だいたい)
大腸 (だいちょう)
台無し (だいなし)
大便 (だいべん)
打順 (だじゅん)
打席 (だせき)
談議 (だんぎ)
談笑 (だんしょう)
男児 (だんじ)
治安 (ちあん)
地位 (ちい)
地衣 (ちい)
知覚 (ちかく)
近付 (ちかづ)
近付け (ちかづけ)
力不足 (ちからぶそく)
治水 (ちすい)
地帯 (ちたい)
地底 (ちてい)
知的 (ちてき)
地動説 (ちどうせつ)
地熱 (ちねつ)
地変 (ちへん)
茶器 (ちゃき)
着衣 (ちゃくい)
着席 (ちゃくせき)
着陸 (ちゃくりく)
虫害 (ちゅうがい)
中型 (ちゅうがた)
仲秋 (ちゅうしゅう)
中卒 (ちゅうそつ)
中隊 (ちゅうたい)
中毒 (ちゅうどく)
調印 (ちょういん)
長官 (ちょうかん)
長径 (ちょうけい)
兆候 (ちょうこう)
調整器 (ちょうせいき)
調節 (ちょうせつ)
長孫 (ちょうそん)
調達 (ちょうたつ)
調停 (ちょうてい)
帳票 (ちょうひょう)
長辺 (ちょうへん)
調味料 (ちょうみりょう)
町民 (ちょうみん)
長老 (ちょうろう)
貯金 (ちょきん)
貯水池 (ちょすいち)
直観 (ちょっかん)
直径 (ちょっけい)
直結 (ちょっけつ)
追加 (ついか)
追求 (ついきゅう)
追試 (ついし)
追試験 (ついしけん)
追録 (ついろく)
通貨 (つうか)
通関 (つうかん)
通告 (つうこく)
通産 (つうさん)
通産相 (つうさんしょう)
通史 (つうし)
通信 (つうしん)
通説 (つうせつ)
通達 (つうたつ)
通念 (つうねん)
通例 (つうれい)
月極め (つきぎめ)
月別 (つきべつ)
伝手 (つて)
積木 (つみき)
積立て (つみたて)
積荷 (つみに)
梅雨 (つゆ)
定位 (ていい)
低温 (ていおん)
低音 (ていおん)
低下 (ていか)
低学年 (ていがくねん)
低級 (ていきゅう)
低空 (ていくう)
定型 (ていけい)
停止 (ていし)
停車 (ていしゃ)
定説 (ていせつ)
停戦 (ていせん)
低速 (ていそく)
低地 (ていち)
定置 (ていち)
低調 (ていちょう)
停電 (ていでん)
低頭 (ていとう)
底辺 (ていへん)
底面 (ていめん)
低落 (ていらく)
低利 (ていり)
底流 (ていりゅう)
定量 (ていりょう)
定量的 (ていりょうてき)
定例 (ていれい)
的中 (てきちゅう)
手管 (てくだ)
手順 (てじゅん)
手順書 (てじゅんしょ)
鉄管 (てっかん)
鉄器 (てっき)
天辺 (てっぺん)
手付金 (てつけきん)
鉄材 (てつざい)
手伝 (てつだ)
手続 (てつづき)
手続き (てつづき)
手札 (てふだ)
手練手管 (てれんてくだ)
転位 (てんい)
転機 (てんき)
典型 (てんけい)
天候 (てんこう)
天主堂 (てんしゅどう)
転成 (てんせい)
転置 (てんち)
点灯 (てんとう)
天動説 (てんどうせつ)
天然 (てんねん)
転変 (てんぺん)
伝馬船 (てんません)
天満宮 (てんまんぐう)
出来栄え (できばえ)
電位 (でんい)
電器 (でんき)
電機 (でんき)
電極 (でんきょく)
伝言 (でんごん)
電算機 (でんさんき)
電信 (でんしん)
伝説 (でんせつ)
伝送 (でんそう)
伝達 (でんたつ)
電灯 (でんとう)
電動機 (でんどうき)
伝熱 (でんねつ)
電熱 (でんねつ)
伝票 (でんぴょう)
伝聞 (でんぶん)
伝来 (でんらい)
伝令 (でんれい)
答案 (とうあん)
灯火 (とうか)
冬季 (とうき)
投機 (とうき)
当機 (とうき)
東軍 (とうぐん)
当初 (とうしょ)
湯治 (とうじ)
答辞 (とうじ)
当選 (とうせん)
当然 (とうぜん)
当然 (とうぜん)
灯台 (とうだい)
投票 (とうひょう)
灯明 (とうみょう)
島民 (とうみん)
灯油 (とうゆ)
等量 (とうりょう)
登録 (とうろく)
遠浅 (とおあさ)
時折 (ときおり)
徒競走 (ときょうそう)
得意 (とくい)
得意気 (とくいげ)
特産 (とくさん)
特使 (とくし)
得失点 (とくしってん)
得失 (とくしつ)
特集 (とくしゅう)
特賞 (とくしょう)
特色 (とくしょく)
得心 (とくしん)
特進 (とくしん)
特選 (とくせん)
特大 (とくだい)
特注 (とくちゅう)
特長 (とくちょう)
特定 (とくてい)
得点 (とくてん)
特典 (とくてん)
特等 (とくとう)
特売 (とくばい)
特筆 (とくひつ)
特別 (とくべつ)
特別 (とくべつ)
特命 (とくめい)
特約 (とくやく)
特有 (とくゆう)
特例 (とくれい)
特化 (とっか)
特急 (とっきゅう)
特訓 (とっくん)
特高 (とっこう)
徒弟 (とてい)
都道府県 (とどうふけん)
徒歩 (とほ)
都民 (とみん)
灯火 (ともしび)
友達 (ともだち)
共働き (ともばたらき)
取付 (とりつけ)
徒労 (とろう)
同位 (どうい)
動機 (どうき)
動議 (どうぎ)
同型 (どうけい)
同好 (どうこう)
同好の士 (どうこうのし)
道交法 (どうこうほう)
動産 (どうさん)
同士 (どうし)
同氏 (どうし)
同種 (どうしゅ)
動静 (どうせい)
同席 (どうせき)
同然 (どうぜん)
動的 (どうてき)
道標 (どうひょう)
動脈 (どうみゃく)
同類 (どうるい)
土器 (どき)
毒薬 (どくやく)
土建 (どけん)
度量 (どりょう)
努力 (どりょく)
内省 (ないせい)
内積 (ないせき)
内戦 (ないせん)
内的 (ないてき)
内包 (ないほう)
内約 (ないやく)
内陸 (ないりく)
仲買 (なかがい)
仲仕 (なかし)
仲立ち (なかだち)
仲直り (なかなおり)
仲間 (なかま)
仲良 (なかよ)
仲良し (なかよし)
長続き (ながつづき)
仲人 (なこうど)
名残 (なごり)
名付け (なづけ)
何卒 (なにとぞ)
名札 (なふだ)
生兵法 (なまびょうほう)
生録 (なまろく)
南無 (なむ)
成金 (なりきん)
成立ち (なりたち)
成行き (なりゆき)
南軍 (なんぐん)
苦笑い (にがわらい)
肉付き (にくづき)
西側 (にしがわ)
二束三文 (にそくさんもん)
日課 (にっか)
日給 (にっきゅう)
日参 (にっさん)
日産 (にっさん)
日照 (にっしょう)
荷札 (にふだ)
入札 (にゅうさつ)
入試 (にゅうし)
入賞 (にゅうしょう)
入選 (にゅうせん)
入隊 (にゅうたい)
入念 (にゅうねん)
入梅 (にゅうばい)
入浴 (にゅうよく)
二輪 (にりん)
人参 (にんじん)
人夫 (にんぷ)
熱気 (ねっき)
熱唱 (ねっしょう)
熱心 (ねっしん)
熱戦 (ねっせん)
熱帯 (ねったい)
熱帯雨林 (ねったいうりん)
熱中 (ねっちゅう)
熱湯 (ねっとう)
熱波 (ねっぱ)
熱風 (ねっぷう)
熱意 (ねつい)
熱望 (ねつぼう)
熱量 (ねつりょう)
根付 (ねづ)
念入り (ねんいり)
念願 (ねんがん)
年季 (ねんき)
年功 (ねんこう)
年産 (ねんさん)
念書 (ねんしょ)
念頭 (ねんとう)
年度末 (ねんどまつ)
年別 (ねんべつ)
年末 (ねんまつ)
年利 (ねんり)
念力 (ねんりき)
年輪 (ねんりん)
農機具 (のうきぐ)
農協 (のうきょう)
農産 (のうさん)
農夫 (のうふ)
農民 (のうみん)
野辺 (のべ)
野良 (のら)
配位 (はいい)
配管 (はいかん)
配給 (はいきゅう)
敗者 (はいしゃ)
敗戦 (はいせん)
配達 (はいたつ)
配置 (はいち)
配付 (はいふ)
敗北 (はいぼく)
博士 (はかせ)
博愛 (はくあい)
白衣 (はくい)
博学 (はくがく)
白菜 (はくさい)
博士 (はくし)
白熱 (はくねつ)
白梅 (はくばい)
博物 (はくぶつ)
博物館 (はくぶつかん)
刷毛 (はけ)
旗色 (はたいろ)
発覚 (はっかく)
発給 (はっきゅう)
発散 (はっさん)
発信 (はっしん)
発信者 (はっしんしゃ)
発達 (はったつ)
法度 (はっと)
発芽 (はつが)
発電機 (はつでんき)
初荷 (はつに)
発熱 (はつねつ)
初耳 (はつみみ)
初雪 (はつゆき)
発令 (はつれい)
花束 (はなたば)
花冷え (はなびえ)
花札 (はなふだ)
半旗 (はんき)
半径 (はんけい)
半周 (はんしゅう)
半焼 (はんしょう)
反省 (はんせい)
飯場 (はんば)
半量 (はんりょう)
反例 (はんれい)
梅雨 (ばいう)
倍加 (ばいか)
売約 (ばいやく)
博才 (ばくさい)
博打 (ばくち)
場末 (ばすえ)
万国旗 (ばんこっき)
万博 (ばんぱく)
番兵 (ばんぺい)
万民 (ばんみん)
悲観 (ひかん)
東側 (ひがしがわ)
悲願 (ひがん)
引続き (ひきつづき)
飛行 (ひこう)
飛行機 (ひこうき)
飛行場 (ひこうじょう)
飛散 (ひさん)
日差 (ひざし)
日差し (ひざし)
飛車 (ひしゃ)
左側 (ひだりがわ)
必見 (ひっけん)
必殺 (ひっさつ)
必死 (ひっし)
必勝 (ひっしょう)
必着 (ひっちゃく)
必中 (ひっちゅう)
未年 (ひつじどし)
筆順 (ひつじゅん)
必定 (ひつじょう)
必然 (ひつぜん)
必読 (ひつどく)
必要 (ひつよう)
日付 (ひづけ)
日照り (ひでり)
人差指 (ひとさしゆび)
人達 (ひとたち)
費目 (ひもく)
百貨店 (ひゃっかてん)
日焼け (ひやけ)
冷麦 (ひやむぎ)
標記 (ひょうき)
票決 (ひょうけつ)
標高 (ひょうこう)
標語 (ひょうご)
表札 (ひょうさつ)
表象 (ひょうしょう)
標定 (ひょうてい)
標的 (ひょうてき)
票田 (ひょうでん)
標本 (ひょうほん)
費用 (ひよう)
平底 (ひらぞこ)
昼飯 (ひるめし)
品位 (ひんい)
品種 (ひんしゅ)
美観 (びかん)
美的 (びてき)
病欠 (びょうけつ)
病巣 (びょうそう)
病的 (びょうてき)
病歴 (びょうれき)
便乗 (びんじょう)
不安 (ふあん)
不安定 (ふあんてい)
不意 (ふい)
風変わり (ふうがわり)
風紀 (ふうき)
風景 (ふうけい)
不運 (ふうん)
不得手 (ふえて)
付加 (ふか)
府下 (ふか)
不覚 (ふかく)
不完全 (ふかんぜん)
付記 (ふき)
不休 (ふきゅう)
付近 (ふきん)
付議 (ふぎ)
副官 (ふくかん)
副業 (ふくぎょう)
副菜 (ふくさい)
副作用 (ふくさよう)
副産物 (ふくさんぶつ)
副賞 (ふくしょう)
副食 (ふくしょく)
副次 (ふくじ)
副題 (ふくだい)
副読 (ふくどく)
服毒 (ふくどく)
副本 (ふくほん)
福利 (ふくり)
不具合 (ふぐあい)
不景気 (ふけいき)
府県 (ふけん)
不健康 (ふけんこう)
不健全 (ふけんぜん)
付言 (ふげん)
不幸 (ふこう)
不公平 (ふこうへい)
不心得 (ふこころえ)
不合理 (ふごうり)
不作 (ふさく)
不参加 (ふさんか)
不幸せ (ふしあわせ)
不思議 (ふしぎ)
不自然 (ふしぜん)
不死鳥 (ふしちょう)
不始末 (ふしまつ)
節目 (ふしめ)
不出 (ふしゅつ)
不信 (ふしん)
不親切 (ふしんせつ)
不時 (ふじ)
不治 (ふじ)
不時着 (ふじちゃく)
不死身 (ふじみ)
不十分 (ふじゅうぶん)
不順 (ふじゅん)
不自由 (ふじゆう)
不自由 (ふじゆう)
夫人 (ふじん)
付図 (ふず)
不省 (ふせい)
不整 (ふせい)
不正 (ふせい)
不成立 (ふせいりつ)
不戦 (ふせん)
不戦勝 (ふせんしょう)
不戦敗 (ふせんぱい)
不全 (ふぜん)
不足 (ふそく)
付帯 (ふたい)
付置 (ふち)
付着 (ふちゃく)
不注意 (ふちゅうい)
不調 (ふちょう)
不通 (ふつう)
不都合 (ふつごう)
不束 (ふつつか)
不定 (ふてい)
不出来 (ふでき)
不当 (ふとう)
不等 (ふとう)
不得意 (ふとくい)
不動 (ふどう)
不同 (ふどう)
不動産 (ふどうさん)
府内 (ふない)
船底 (ふなぞこ)
船便 (ふなびん)
不敗 (ふはい)
不発 (ふはつ)
不必要 (ふひつよう)
付表 (ふひょう)
歩兵 (ふひょう)
不平等 (ふびょうどう)
不服 (ふふく)
不平 (ふへい)
不変 (ふへん)
不便 (ふべん)
不法 (ふほう)
不本意 (ふほんい)
不満 (ふまん)
不向き (ふむき)
不明 (ふめい)
不毛 (ふもう)
不問 (ふもん)
不用 (ふよう)
不要 (ふよう)
不用意 (ふようい)
不利 (ふり)
府立 (ふりつ)
不漁 (ふりょう)
不良 (ふりょう)
古巣 (ふるす)
不連続 (ふれんぞく)
不労 (ふろう)
不老 (ふろう)
付録 (ふろく)
不和 (ふわ)
分別 (ふんべつ)
粉末 (ふんまつ)
無愛想 (ぶあいそう)
部課長 (ぶかちょう)
不気味 (ぶきみ)
不器用 (ぶきよう)
不器量 (ぶきりょう)
不細工 (ぶさいく)
無作法 (ぶさほう)
不様 (ぶざま)
無事 (ぶじ)
不足 (ぶそく)
不足 (ぶそく)
部隊 (ぶたい)
物産 (ぶっさん)
物的 (ぶってき)
物議 (ぶつぎ)
物量 (ぶつりょう)
部費 (ぶひ)
無風流 (ぶふうりゅう)
不用心 (ぶようじん)
部類 (ぶるい)
無礼 (ぶれい)
文官 (ぶんかん)
文型 (ぶんけい)
文芸 (ぶんげい)
分散 (ぶんさん)
分節 (ぶんせつ)
文節 (ぶんせつ)
分隊 (ぶんたい)
分置 (ぶんち)
分別 (ぶんべつ)
文法 (ぶんぽう)
文末 (ぶんまつ)
文脈 (ぶんみゃく)
文民 (ぶんみん)
分量 (ぶんりょう)
分類 (ぶんるい)
文例 (ぶんれい)
兵役 (へいえき)
兵器 (へいき)
平行四辺形 (へいこうしへんけい)
兵士 (へいし)
平静 (へいせい)
平然 (へいぜん)
兵隊 (へいたい)
平熱 (へいねつ)
兵法 (へいほう)
平民 (へいみん)
兵力 (へいりょく)
変位 (へんい)
変化 (へんか)
変型 (へんけい)
変形 (へんけい)
変化 (へんげ)
変死 (へんし)
変色 (へんしょく)
変身 (へんしん)
返信 (へんしん)
変人 (へんじん)
変成 (へんせい)
変声 (へんせい)
変速 (へんそく)
変体 (へんたい)
辺地 (へんち)
変調 (へんちょう)
変転 (へんてん)
変動 (へんどう)
返付 (へんぷ)
米軍 (べいぐん)
米飯 (べいはん)
別館 (べっかん)
別記 (べっき)
別紙 (べっし)
別室 (べっしつ)
別種 (べっしゅ)
別送 (べっそう)
別注 (べっちゅう)
別表 (べっぴょう)
別口 (べつくち)
別人 (べつじん)
別売 (べつばい)
別便 (べつびん)
別名 (べつめい)
別物 (べつもの)
便所 (べんじょ)
便法 (べんぽう)
便利 (べんり)
法案 (ほうあん)
包囲 (ほうい)
方位 (ほうい)
法医学 (ほういがく)
法王 (ほうおう)
法科 (ほうか)
放課後 (ほうかご)
法外 (ほうがい)
法学 (ほうがく)
法学部 (ほうがくぶ)
放散 (ほうさん)
法事 (ほうじ)
法人 (ほうじん)
法線 (ほうせん)
包帯 (ほうたい)
放置 (ほうち)
法治 (ほうち)
包丁 (ほうちょう)
法定 (ほうてい)
法的 (ほうてき)
放念 (ほうねん)
方便 (ほうべん)
方法 (ほうほう)
放牧 (ほうぼく)
法要 (ほうよう)
法令 (ほうれい)
北軍 (ほくぐん)
北陸 (ほくりく)
火照 (ほて)
歩兵 (ほへい)
本案 (ほんあん)
本位 (ほんい)
本会議 (ほんかいぎ)
本願 (ほんがん)
本給 (ほんきゅう)
本省 (ほんしょう)
本選 (ほんせん)
本堂 (ほんどう)
本望 (ほんもう)
望遠 (ぼうえん)
望遠 (ぼうえん)
望遠鏡 (ぼうえんきょう)
望外 (ぼうがい)
牧場 (ぼくじょう)
牧草 (ぼくそう)
牧童 (ぼくどう)
前置き (まえおき)
前借り (まえがり)
前側 (まえがわ)
間借り (まがり)
牧場 (まきば)
不味 (まず)
街角 (まちかど)
末期 (まっき)
真最中 (まっさいちゅう)
末世 (まっせ)
末席 (まっせき)
末筆 (まっぴつ)
末期 (まつご)
末日 (まつじつ)
末代 (まつだい)
松原 (まつばら)
松山 (まつやま)
末路 (まつろ)
愛弟子 (まなでし)
丸底 (まるぞこ)
満員 (まんいん)
満開 (まんかい)
満願 (まんがん)
満漢全席 (まんがんぜんせき)
満期 (まんき)
満月 (まんげつ)
満室 (まんしつ)
満車 (まんしゃ)
満身 (まんしん)
満場 (まんじょう)
満水 (まんすい)
満席 (まんせき)
満足 (まんぞく)
満足 (まんぞく)
満点 (まんてん)
満面 (まんめん)
見失 (みうしな)
見栄 (みえ)
見得 (みえ)
見覚え (みおぼえ)
未開 (みかい)
味覚 (みかく)
未完 (みかん)
未完成 (みかんせい)
見極め (みきわめ)
右側 (みぎがわ)
未決 (みけつ)
見殺し (みごろし)
未使用 (みしよう)
水浴び (みずあび)
水不足 (みずぶそく)
水辺 (みずべ)
未成年 (みせいねん)
未然 (みぜん)
未然形 (みぜんけい)
見初め (みそめ)
未知 (みち)
道標 (みちしるべ)
道順 (みちじゅん)
道連れ (みちづれ)
未着 (みちゃく)
見付か (みつか)
見付け (みつけ)
見積も (みつも)
見積り (みつもり)
見積書 (みつもりしょ)
未定 (みてい)
未読 (みどく)
水無月 (みなづき)
南側 (みなみがわ)
見栄え (みばえ)
未必 (みひつ)
未満 (みまん)
未明 (みめい)
未聞 (みもん)
脈動 (みゃくどう)
土産 (みやげ)
土産話 (みやげばなし)
未来 (みらい)
未練 (みれん)
民意 (みんい)
民家 (みんか)
民間 (みんかん)
民芸 (みんげい)
民主 (みんしゅ)
民宿 (みんしゅく)
民事 (みんじ)
民生 (みんせい)
民族 (みんぞく)
民放 (みんぽう)
民法 (みんぽう)
民有 (みんゆう)
民話 (みんわ)
無一物 (むいちぶつ)
無一文 (むいちもん)
無意味 (むいみ)
無音 (むおん)
無害 (むがい)
無学 (むがく)
無期 (むき)
無機 (むき)
無休 (むきゅう)
無給 (むきゅう)
無気力 (むきりょく)
無口 (むくち)
無形 (むけい)
無欠 (むけつ)
無芸 (むげい)
無根 (むこん)
無言 (むごん)
無産 (むさん)
無残 (むざん)
無色 (むしょく)
無心 (むしん)
無心 (むしん)
無地 (むじ)
無実 (むじつ)
無人 (むじん)
無数 (むすう)
無声 (むせい)
無線 (むせん)
無線機 (むせんき)
無知 (むち)
無茶 (むちゃ)
無茶 (むちゃ)
無茶苦茶 (むちゃくちゃ)
無手順 (むてじゅん)
無電 (むでん)
無毒 (むどく)
無二 (むに)
無念 (むねん)
無念無想 (むねんむそう)
無敗 (むはい)
無病 (むびょう)
無風 (むふう)
無法 (むほう)
無味 (むみ)
無名 (むめい)
無用 (むよう)
無理 (むり)
無理強い (むりじい)
無理矢理 (むりやり)
無料 (むりょう)
無量 (むりょう)
無力 (むりょく)
無類 (むるい)
名案 (めいあん)
名産 (めいさん)
名望 (めいぼう)
命令 (めいれい)
目覚し (めざまし)
目覚し (めざまし)
目覚め (めざめ)
目印 (めじるし)
芽生え (めばえ)
目分量 (めぶんりょう)
面積 (めんせき)
毛細管 (もうさいかん)
木材 (もくざい)
目的 (もくてき)
目的地 (もくてきち)
目標 (もくひょう)
目録 (もくろく)
文字種 (もじしゅ)
望月 (もちづき)
物置 (ものおき)
物差し (ものさし)
物静か (ものしずか)
物好き (ものずき)
最早 (もはや)
門灯 (もんとう)
門標 (もんぴょう)
焼付け (やきつけ)
焼肉 (やきにく)
焼物 (やきもの)
薬害 (やくがい)
約定 (やくじょう)
約定 (やくじょう)
約数 (やくすう)
約束 (やくそく)
役得 (やくとく)
役得 (やくどく)
約分 (やくぶん)
薬包紙 (やくほうし)
役満 (やくまん)
夜景 (やけい)
野菜 (やさい)
矢印 (やじるし)
夜戦 (やせん)
野望 (やぼう)
山側 (やまがわ)
山積み (やまづみ)
有害 (ゆうがい)
勇気 (ゆうき)
有機 (ゆうき)
有給 (ゆうきゅう)
友好 (ゆうこう)
遊説 (ゆうぜい)
有毒 (ゆうどく)
夕飯 (ゆうはん)
昨夜 (ゆうべ)
有望 (ゆうぼう)
遊牧 (ゆうぼく)
遊民 (ゆうみん)
夕飯 (ゆうめし)
夕焼け (ゆうやけ)
有利 (ゆうり)
有料 (ゆうりょう)
浴衣 (ゆかた)
湯冷まし (ゆざまし)
指輪 (ゆびわ)
湯浴 (ゆよく)
養育 (よういく)
要員 (よういん)
要求 (ようきゅう)
陽極 (ようきょく)
養子 (ようし)
要所 (ようしょ)
養女 (ようじょ)
養生 (ようじょう)
要人 (ようじん)
養成 (ようせい)
羊腸 (ようちょう)
要点 (ようてん)
養父 (ようふ)
養父母 (ようふぼ)
養分 (ようぶん)
用兵 (ようへい)
用法 (ようほう)
要望 (ようぼう)
要約 (ようやく)
