Number	Name	Radical	OldNames	Year	Reason	Reading
521	訊	言		2004	Print	ジン、シュン、シン、き-く、と-う、たず-ねる
522	訣	言		2004	Print	ケツ、わかれ、わかれ-る
523	註	言		2004	Print	チュウ
524	詢	言		1990	Names	ジュン、シュン、はか-る、まこと
525	詫	言		2004	Print	タ、わび、わび-しい、かこつ、わ-びる、わび-る
526	誼	言		1990	Names	ギ、よしみ、よい
527	諏	言		2004	Print	シュ、ス、そう、はか-る
528	諄	言		1990	Names	シュン、ひちくど-い、くど-い、くどくど、ねんご-ろ
529	諒	言		1981	Names	リョウ、あきら-か、まことに
530	謂	言		2004	Print	イ、い-う、いい、おも-う、いわゆる
531	諺	言		2004	Print	ゲン、ことわざ
532	讃	言		2004	Print	サン、ほ-める、たた-える
533	豹	豸		2004	Print	ヒョウ、ホウ
534	貰	貝		2004	Print	セイ、シャ、もら-う
535	賑	貝		2004	Print	シン、にぎ-わい、にぎ-やか、にぎ-わす、にぎ-わう
536	赳	走		1981	Names	キュウ
537	跨	足		2004	Print	コ、カ、また-がる、またが-る、また-ぐ
538	蹄	足		2004	Print	テイ、ひづめ
539	蹟	足		2004	Print	セキ、シャク、あと
540	輔	車		1951	Names	ホ、フ、たす-ける
541	輯	車		2004	Print	シュウ、あつ-める、やわ-らぐ
542	輿	車		2004	Print	ヨ、かご、こし
543	轟	車		2004	Print	コウ、ゴウ、とどろ-かす、とどろ-く
544	辰	辰		1951	Names	シン、ジン、たつ
545	辻	辵		2004	Print	つじ
546	迂	辵		2004	Print	ウ
547	迄	辵		2004	Print	キツ、まで、およ-ぶ
548	辿	辵		2004	Print	テン、たど-る、たどり
549	迪	辵		1981	Names	テキ、みち、みち-びく、すす-む、いた-る
550	迦	辵		2004	Print	カ、ケ
551	這	辵		2004	Print	シャ、ゲン、は-う、は-い、むか-える、この
552	逞	辵		2004	Print	テイ、たくま-しい
553	逗	辵		2004	Print	トウ、ズ、とど-まる
554	逢	辵		2004	Print	ホウ、あ-う、むか-える
555	遥	辵	遙	1981	Names	ヨウ、はる-か
556	遁	辵		2004	Print	トン、シュン、のが-れる
557	遼	辵		1981	Names	リョウ
558	邑	邑		1990	Names	ユウ、うれ-える、くに、むら
559	祁	示		2004	Print	キ、ケ
560	郁	邑		1951	Names	イク
561	鄭	邑		2004	Print	テイ、ジョウ
562	酉	酉		1951	Names	ユウ、とり
563	醇	酉		1990	Names	ジュン、シュン、もっぱら、こい、あつい
564	醐	酉		2004	Print	ゴ、コ
565	醍	酉		2004	Print	ダイ、タイ、テイ
566	醬	酉		2004	Print	ショウ、ひしお
567	釉	釆		2004	Print	ユウ、うわぐすり
568	釘	金		2004	Print	テイ、チョウ、くぎ
569	釧	金		2004	Print	セン、くしろ、うでわ
570	銑	金		1948	Moved	セン
571	鋒	金		2004	Print	ホウ、ほこ-さき
572	鋸	金		2004	Print	キョ、コ、のこ、のこぎり
573	錘	金		1948	Moved	スイ、つむ、おもり
574	錐	金		2004	Print	スイ、きり
575	錆	金		2004	Print	ショウ、セイ、さび、くわ-しい
576	錫	金		2004	Print	セキ、シャク、すず、たま-う
577	鍬	金		2004	Print	ショウ、シュウ、くわ、すき
578	鎧	金		2004	Print	カイ、ガイ、よろ-う、よろい
579	閃	門		2004	Print	セン、ひらめ-く、ひらめ-き
580	閏	門		2004	Print	ジュン、うるう
581	閤	門		2004	Print	コウ、くぐりど
582	阿	阜		1976	Names	ア、オ、おもね-る
583	陀	阜		2004	Print	タ、ダ、イ、チ、ジ、けわ-しい、ななめ
584	隈	阜		2004	Print	ワイ、エ、くま、すみ
585	隼	隹		1976	Names	シュン、ジュン、はやぶさ
586	雀	隹		2004	Print	ジャク、ジャン、サク、シャク、すずめ
587	雁	隹		2004	Print	ガン、かり、かりがね
588	雛	隹		1990	Names	スウ、ス、ジュ、ひな、ひよこ
589	雫	雨		2004	Print	ダ、しずく
590	霞	雨		1981	Names	カ、ゲ、かすみ、かす-む
591	靖	靑		1951	Names	セイ、ジョウ、やす-んじる
592	鞄	革		2004	Print	ハク、ホウ、ビョウ、かばん
593	鞍	革		2004	Print	アン、くら
594	鞘	革		2004	Print	ショウ、ソウ、さや
595	鞠	革		1990	Names	キク、キュウ、まり
596	鞭	革		2004	Print	ベン、ヘン、むち、むちうつ
597	頁	頁		2004	Print	ケツ、ぺえじ、おおが-い、かしら
598	頌	頁		1981	Names	ショウ、ジュ、ヨウ、かたち、たた-える、ほめ-る
599	頗	頁		2004	Print	ハ、すこぶ-る、かたよ-る
600	顚	頁		2004	Print	テン、いただ-き、たお-れる
601	颯	風		1990	Names	サツ、ソウ、さっ-と
602	饗	食		2004	Print	キョウ、う-ける、もてな-す
603	馨	香		1951	Names	ケイ、キョウ、かお-る、かおり
604	馴	馬		2004	Print	ジュン、シュン、クン、な-れる、な-らす、したが-う
605	馳	馬		2004	Print	チ、ジ、は-せる
606	駕	馬		2004	Print	カ、ガ、かご、が-する、しのぐ、のる
607	駿	馬		1981	Names	シュン、スン、すぐ-れる
608	驍	馬		2004	Other	ギョウ、キョウ、たけし
609	魁	鬼		1990	Names	カイ、さきがけ、かしら
610	魯	魚		2004	Print	ロ、おろか
611	鮎	魚		1976	Names	デン、ネン、あゆ、なまず
612	鯉	魚		1951	Names	リ、こい
613	鯛	魚		1951	Names	チョウ、たい
614	鰯	魚		2004	Print	いわし
615	鱒	魚		2004	Print	ソン、セン、ザン、ます
616	鱗	魚		2004	Print	リン、うろこ、こけ、こけら
617	鳩	鳥		1981	Names	キュウ、ク、はと、あつ-める
618	鳶	鳥		2004	Print	エン、とび、とんび
619	鳳	鳥		1990	Names	ホウ、フウ
620	鴨	鳥		2004	Print	オウ、かも、あひる
621	鴻	鳥		1990	Names	コウ、おおとり、ひしくい
622	鵜	鳥		2004	Print	テイ、ダイ、う
623	鵬	鳥		1990	Names	ホウ、おおとり
624	鷗	鳥		2004	Print	オウ、かもめ
625	鷲	鳥		2004	Print	シュウ、ジュ
626	鷺	鳥		2004	Print	ロ、さぎ
627	鷹	鳥		1981	Names	ヨウ、オウ、たか
628	麒	鹿		2004	Other	キ
629	麟	鹿		1990	Names	リン
630	麿	麻		1951	Names	まろ
631	黎	黍		1990	Names	レイ、リ、くろ-い
632	黛	黑		1990	Names	タイ、まゆずみ
633	鼎	鼎		2004	Print	テイ、かなえ
