Number	Name	LongName	Reading
119	米	米部（べいぶ）	こめ こめへん
120	糸	糸部（べきぶ）	いと いとへん
121	缶	缶部（ふぶ）	ほとぎ ほとぎへん フ カン
122	网	网部（もうぶ）	あみめ あみがしら よんがしら
123	羊	羊部（ようぶ）	ひつじ ひつじへん
124	羽 羽	羽部（うぶ）	はね
125	老 耂	老部（ろうぶ）	おいる おいかんむり おいがしら
126	而	而部（じぶ）	しこうして しかして
127	耒	耒部（らいぶ）	らいすき すきへん
128	耳	耳部（じぶ）	みみ みみへん
129	聿	聿部（いつぶ）	イツ ふでづくり
130	肉 月	肉部（にくぶ）	ニク にくづき
131	臣	臣部（しんぶ）	シン
132	自	自部（じぶ）	ジ みずから
133	至	至部（しぶ）	いたる いたるへん
134	臼	臼部（きゅうぶ）	うす
135	舌	舌部（ぜつぶ）	した したへん
136	舛	舛部（せんぶ）	まいあし ます
137	舟	舟部（しゅうぶ）	ふね ふねへん
138	艮	艮部（ごんぶ）	コン ゴン こんづくり ごんづくり ねづくり うしとら
139	色	色部（しょくぶ）	いろ
140	艸 艹	艸部（そうぶ）	くさ くさかんむり そうこう
141	虍	虍部（こぶ）	とらかんむり とらがしら
142	虫	虫部（きぶ）	むし むしへん
143	血	血部（けつぶ）	ち
144	行	行部（こうぶ）	ゆきがまえ ぎょうがまえ
145	衣 衤	衣部（いぶ）	ころも ころもへん
146	襾 西 覀	襾部（あぶ）	おおいかんむり にし
147	見	見部（けんぶ）	みる
148	角	角部（かくぶ）	つの つのへん
149	言 訁	言部（げんぶ）	ことば ゲン ごんべん
150	谷	谷部（こくぶ）	たに たにへん
151	豆	豆部（とうぶ）	まめ まめへん
152	豕	豕部（しぶ）	いのこ いのこへん ぶた
153	豸	豸部（ちぶ）	むじなへん
154	貝	貝部（ばいぶ）	かい かいへん こがい
155	赤	赤部（せきぶ）	あか あかへん
156	走	走部（そうぶ）	はしる そうにょう
157	足 𧾷	足部（そくぶ）	あし あしへん
158	身	身部（しんぶ）	み みへん
159	車	車部（しゃぶ）	くるま くるまへん
160	辛	辛部（しんぶ）	シン からい
161	辰	辰部（しんぶ）	しんのたつ
162	辵 辶	辵部（ちゃくぶ）	しんにょう しんにゅう
163	邑 阝	邑部（ゆうぶ）	むら おおざと
164	酉	酉部（ゆうぶ）	とりへん ひよみのとり さけのとり とり
165	釆	釆部（はんぶ）	のごめ のごめへん
166	里	里部（りぶ）	さと さとへん
167	金 釒	金部（きんぶ）	かね かねへん
168	長	長部（ちょうぶ）	ながい
169	門	門部（もんぶ）	モン もんがまえ かどがまえ
170	阜 阝	阜部（ふぶ）	おか こざとへん
171	隶	隶部（たいぶ）	れいづくり
172	隹	隹部（すいぶ）	ふるとり
173	雨	雨部（うぶ）	あめ あめかんむり
174	靑 青	青部（せいぶ）	あお
175	非	非部（ひぶ）	あらず ヒ
176	面	面部（めんぶ）	メン
177	革	革部（かくぶ）	かわへん つくりがわ
178	韋	韋部（いぶ）	なめしがわ
179	韭	韭部（きゅうぶ）	にら
180	音	音部（おんぶ）	おと おとへん
181	頁	頁部（けつぶ）	おおがい
182	風	風部（ふうぶ）	かぜ
183	飛	飛部（ひぶ）	とぶ
184	食 飠	食部（しょくぶ）	ショク しょくへん
185	首	首部（しゅぶ）	くび
186	香	香部（こうぶ）	かおり カ
187	馬	馬部（ばぶ）	うま うまへん
188	骨	骨部（こつぶ）	ほね ほねへん
189	高	高部（こうぶ）	たかい
190	髟	髟部（ひょうぶ）	かみかんむり かみがしら
191	鬥	鬥部（とうぶ）	とうがまえ たたかいがまえ
192	鬯	鬯部（ちょうぶ）	チョウ においざけ
193	鬲	鬲部（れきぶ）	かなえ レキ
194	鬼	鬼部（きぶ）	おに きにょう
195	魚	魚部（ぎょぶ）	うお さかな うおへん
196	鳥	鳥部（ちょうぶ）	とり とりへん
197	鹵	鹵部（ろぶ）	しお ロ
198	鹿	鹿部（ろくぶ）	しか
199	麥 麦	麦部（ばくぶ）	むぎ ばくにょう
200	麻	麻部（まぶ）	あさ あさかんむり
201	黃 黄	黄部（こうぶ）	き
202	黍	黍部（しょぶ）	きび
203	黑 黒	黒部（こくぶ）	くろ
204	黹	黹部（ちぶ）	ぬいとり ふつへん チ
205	黽	黽部（ぼうぶ）	べんあし かえる ベン
206	鼎	鼎部（ていぶ）	かなえ テイ
207	鼓	鼓部（こぶ）	つづみ
208	鼠	鼠部（そぶ）	ねずみ ねずみへん
209	鼻	鼻部（びぶ）	はな はなへん
210	齊 斉	斉部（せいぶ）	セイ
211	齒 歯	歯部（しぶ）	は はへん
212	龍 竜	竜部（りゅうぶ）	リュウ
213	龜 亀	亀部（きぶ）	かめ
214	龠	龠部（やくぶ）	ヤク ふえ
